"A Singular Tub of FazeBerry ® GFuel ® Energy Formula - The Official Drink of ESports ®;""English"";""Athênai F.C."";""WB/M (R)"";1;90;13",2;6,9;0;1;0;0,12;1;1;0;0;35;37;94,"59;2;1;5;20;1;3;3;100;1;2;1;1;100;0;0;4;0;0;0;1;0;0;""2-4"";""Inter London"";""1"";1;1;13;1;7;13;10;10;6;1;1;9;7;8;9;8;7;10;1;10;9;8;7;1;7;9;1;8;9;5;9;20;9;1;13;10;5;9;1;1;1;20;10;8;9;9;1;9;10",,,,
"Aleksandar Stojakovic;""Serbian"";""Inter London"";""D (C)"," DM"";1;90;11",4;7,9;0;1;0;0,3;2;2;0;0;84;87;96,"55;0;0;0;NA;0;10;10;100;1;0;0;0;NA;0;5;9;0;0;0;0;0;0;""4-2"";""Athênai F.C."";""1"";1;1;7;1;10;5;12;10;11;1;1;10;10;5;5;10;5;5;1;5;5;5;5;1;11;10;1;10;5;5;14;20;5;1;13;5;5;13;1;1;1;20;10;13;11;5;1;5;12",,,
"Alessio Calvatore;""Italian"";""Cairo City"";""DM"," M (C)"";1;90;10",9;7,2;0;0;0;0;0;0;0;0;75;76;98,68;0;0;0;NA;0;5;8;62,"5;1;0;0;0;NA;0;3;9;0;0;0;0;0;0;""2-0"";""Tokyo S.C."";""1"";1;1;10;1;5;5;8;10;5;1;1;12;9;5;5;13;5;9;1;5;12;5;5;1;5;7;1;5;10;5;10;20;9;1;10;14;5;10;1;1;1;20;10;10;12;13;1;11;12",,,
"Alfredo Puttanesca;""Canadian"";""Cairo City"";""WB/M (L)"";1;90;13;7",5;0;1;0;0,18;1;2;0;0;54;56;96,"43;0;0;0;NA;0;1;5;20;0;0;1;1;100;0;0;5;0;0;0;0;0;0;""2-0"";""Tokyo S.C."";""1"";1;1;11;1;5;12;8;11;6;4;3;8;7;7;9;7;8;10;1;9;11;8;8;2;8;7;2;5;8;10;10;20;7;3;11;10;7;7;2;2;3;20;10;9;7;10;2;7;8",,,,,
"Andreas Aadnevik;""Norwegian"";""Athênai F.C."";""ST (C)"";1;90;12",8;6,1;0;0;0;0;0;0;0;0;26;30;86,67;1;1;1;100;0;1;8;12,"5;0;0;0;0;NA;0;1;0;0;0;0;1;0;1;""2-4"";""Inter London"";""1"";1;1;14;1;5;10;14;5;5;1;1;13;10;5;5;10;5;5;1;16;5;5;5;1;5;5;1;5;5;5;5;20;15;1;16;5;7;5;1;1;1;20;10;5;8;5;1;5;8",,,,
"Arcueid Brunestud;""Japanese"";""FC Rio"";""GK"";1;90;4",2;6,5;0;0;0;0;0;0;0;0;7;31;22,"58;0;0;0;NA;0;0;0;NA;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;""2-8"";""Hollywood FC"";""1"";1;1;5;10;5;11;13;9;10;5;5;10;10;3;3;10;8;2;5;1;5;5;5;10;1;13;10;5;1;1;2;20;5;17;5;5;5;10;5;17;5;19;5;2;5;5;5;5;5",,,,,
"Arwyn Lamb;""Welsh"";""Athênai F.C."";""AM (RL)"";1;90;14",1;6;0;0;0;0,"13;2;2;0;0;24;32;75;1;0;0;NA;0;2;4;50;0;1;1;1;100;0;1;0;0;0;0;1;0;1;""2-4"";""Inter London"";""1"";1;1;7;1;5;7;11;5;5;1;1;7;5;6;9;12;5;13;1;9;15;10;5;1;5;5;1;5;7;5;5;20;9;1;12;15;5;11;1;1;1;20;5;10;11;9;1;12;10",,,,,,
"Ask Jeeves;""Welsh"";""Cairo City"";""WB (RL)"";1;90;13",4;7,5;0;0;0;0;0;0;0;0;40;43;93,02;1;2;8;25;0;5;6;83,"33;1;2;0;0;NA;0;5;9;0;0;0;2;0;1;""2-0"";""Tokyo S.C."";""1"";1;1;17;1;5;12;5;13;5;1;1;9;5;5;11;7;5;13;1;6;9;5;5;1;5;5;1;5;5;5;11;20;7;1;17;9;5;5;1;1;1;20;12;9;5;7;1;5;10",,,,
"Awesome McPossum;""Italian"";""Hollywood FC"";""AM (C)"";1;90;13",6;7,4;0;0;0;0,41;3;5;0;0;66;76;86,84;2;1;3;33,33;0;2;3;66,"67;0;0;0;0;NA;0;2;2;0;0;0;0;1;0;""8-2"";""FC Rio"";""1"";1;1;9;2;7;10;7;10;5;3;2;10;9;5;7;10;9;7;1;10;5;5;10;1;5;5;1;5;8;5;7;20;10;1;12;10;5;11;3;1;3;20;7;7;10;11;3;12;13",,
"Barry Batsbak;""Dutch"";""Tokyo S.C."";""M/AM (L)"";1;90;13",6;7;0;0;0;0,19;0;3;0;0;49;55;89,"09;5;3;5;60;1;6;8;75;0;1;0;0;NA;0;2;4;0;0;0;1;0;0;""0-2"";""Cairo City"";""1"";1;1;10;3;5;10;9;10;8;2;1;8;10;5;10;10;8;10;2;10;8;8;8;1;6;7;1;5;8;5;8;20;8;2;10;10;5;10;3;1;2;20;9;8;10;10;1;10;10",,,,,
